Generation: 12 | maxFitness: 0,3658777 | maxFitnessGen: 0,2590763 | maxFitnessGenBuf: 0,3658777
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
55|RandomParents|0,01394047|0,7577146;-4,60374;-1,112472;-3,661102;2,497845;4,102204;2,767836;0,4639786;4,351394;2,052177;4,073291;-3,092299;-3,591433;0,7451754;-0,9615692;0,9901996;-4,465031;1,896358;2,054261;0,7749419;-1,726918;-2,401621;-4,831999;-3,155682;3,211205;4,112794;4,90821;-0,6267449;-4,27129
56|RandomParents|0,01393988|0,5825217;-4,60374;-1,516841;-3,661102;2,497845;4,733223;2,767836;0,1162763;4,40933;2,539664;3,787585;-3,637249;-3,591433;0,7451754;-0,1790711;0,9901996;-5,211622;1,896358;2,466435;0,7267963;-2,40265;-2,401621;-4,607287;-3,596501;3,371022;4,243176;4,498679;0,03979769;-4,538268
57|RandomParents|0,01239776|-1,566156;2,245373;2,402822;-2,867647;3,465569;0,1223613;-1,32758;-5,566265;2,922625;-1,350081;3,689465;-1,921937;-1,065321;-3,842596;3,654593;-0,3044546;2,07202;-2,175159;-0,196;-0,7211571;2,438988;4,068692;-1,172438;-0,7088094;-2,523117;1,86976;-4,17271;-3,928863;-1,475719
58|RandomParents|0,01088386|3,320925;0,9210661;0,5864631;-1,971136;-3,955762;-0,02209195;-4,001403;3,031295;-4,925358;-3,620116;-2,689769;2,344553;-2,674814;-4,286962;-5,087188;0,1744241;-1,190181;-2,084965;-1,489333;-2,24325;-3,341832;1,814565;-3,932765;-1,704636;-2,321608;-3,727392;-3,988267;-4,875658;-3,610638
59|RandomParents|0,01086016|3,028239;1,115974;-0,5354973;-1,471518;-3,914624;0,3828561;-3,860782;3,2698;-4,969654;-3,102306;-2,993214;2,416317;-2,550522;-4,973295;-4,889574;-0,02746816;-0,5518988;-1,793033;-2,270305;-1,178411;-2,30233;2,105534;-5,205346;-1,499418;-2,806529;-2,94783;-3,430119;-5,417534;-3,737424
60|RandomParents|0,01082716|2,971081;0,9434314;0,2373601;-1,515873;-3,740858;0,1092544;-3,773345;2,821996;-5,360924;-4,211591;-2,813855;1,871296;-2,334791;-4,716883;-5,739686;-0,1561026;-0,817935;-1,599361;-2,567343;-1,887864;-2,796099;1,814565;-3,988987;-1,92598;-2,254089;-3,626476;-3,087787;-5,34434;-4,228474
61|RandomParents|0,01082673|4,187016;0,1297753;1,277364;-2,24342;-3,709598;0,8718846;-4,083649;2,987421;-2,908412;-3,166278;-2,337222;0,5883247;-2,445889;-5,426027;-5,231358;0,236507;-0,2594184;0,3115747;-0,4581248;-1,473989;-4,558497;2,317282;-3,864421;-1,159433;-2,209227;-4,138409;-4,342087;-3,483681;-3,651318
62|RandomParents|0,01079521|4,454129;-0,4537018;0,7281694;-2,079467;-3,861985;0,8904677;-3,319044;2,387174;-3,496915;-2,676687;-2,951543;1,533129;-2,097934;-3,813598;-4,772979;-0,8717008;0,1961479;0,04989897;-0,6781691;-1,162394;-4,105231;1,796649;-5,222767;-1,0939;-2,476491;-4,051517;-4,370554;-3,074205;-4,06005
63|RandomParents|0,01079205|4,043564;0,2098856;0,8802356;-1,335208;-4,823728;0,4487274;-3,716317;2,553675;-3,190153;-2,286382;-2,741654;1,152893;-2,498544;-3,606689;-5,025541;-0,07904005;-0,7877393;-0,2522517;0,05913538;-1,661165;-4,12446;1,817002;-3,921344;-1,582568;-2,366755;-4,114379;-3,440891;-3,483681;-3,89792
64|RandomParents|0,01078569|4,529097;0,7279855;1,220541;-1,339086;-3,908361;0,2694244;-3,566062;2,783375;-2,949797;-2,304799;-3,434944;1,82943;-2,803079;-3,339112;-4,634695;-0,570874;-0,6379653;0,6856901;0,001563907;-1,400388;-4,69276;2,179341;-4,261514;-1,065564;-1,772254;-4,202418;-4,128509;-3,483681;-3,800811
65|RandomParents|0,01078321|4,643327;-0,07020661;1,36375;-2,085339;-3,08884;0,6224363;-3,785269;2,913082;-3,36336;-2,894049;-2,818296;0,5883247;-2,137254;-4,7078;-6,09705;0,04193057;0,1850222;0,6793613;-0,4581248;-1,647306;-4,682673;1,951301;-4,055438;-1,615538;-2,493326;-4,072829;-3,73133;-3,483681;-3,83593
66|RandomParents|0,01077619|4,480135;0,4000024;1,36375;-2,228782;-3,578127;0,6051708;-3,606667;2,720109;-3,364865;-2,589607;-2,642997;0,5883247;-2,445889;-5,178079;-5,878479;-0,1039103;0,137652;0,6793613;-0,3861379;-1,878258;-4,682673;1,556876;-3,72365;-1,385315;-2,531765;-4,072829;-3,897013;-3,483681;-4,001309
67|RandomParents|0,01076233|4,184539;-0,222118;1,51748;-2,187215;-4,146999;1,25971;-3,731712;2,351393;-3,853794;-2,620106;-3,911628;1,322997;-2,277371;-4,110076;-4,535349;-1,590876;-0,9058242;0,3285317;-0,2223649;-2,807812;-4,506433;1,822192;-3,993827;-1,943694;-2,119913;-4,29376;-3,992057;-2,490195;-4,929204
68|RandomParents|0,01072893|4,43951;-0,1275995;1,51748;-1,825245;-3,703182;1,25971;-3,650437;2,710842;-3,853794;-2,817953;-3,399675;1,675008;-2,709595;-4,188001;-4,859536;-1,336162;-0,9853981;0,5304413;-0,2223649;-2,91224;-4,891887;1,891762;-4,471155;-1,943694;-2,119913;-3,795117;-3,672743;-2,028105;-4,828582
69|RandomParents|0,01072359|4,43951;-0,1275995;1,728228;-1,674076;-4,152709;1,25971;-3,823295;2,351393;-3,853794;-2,817953;-3,472514;1,322997;-2,189083;-4,329722;-4,488819;-1,243722;-1,42521;0,05041167;-0,03864338;-2,2789;-4,506433;2,083912;-4,058422;-2,062164;-2,437794;-4,456491;-3,854285;-2,490195;-4,828582
70|RandomParents|0,01034053|-3,975353;3,578028;1,711711;4,587506;-2,100523;5,316605;-3,091386;-1,040655;1,392035;-3,847962;-1,029951;3,267593;2,570206;-3,533228;-2,212035;-3,13361;-2,860996;-2,23479;-1,263669;-4,900518;0,3961641;0,5589644;-1,041464;3,363332;4,548671;-4,386792;0,1061119;-4,213994;0,5603665
71|RandomParents|0,0103285|2,785324;1,784712;4,38155;-2,762551;0,8106717;1,996327;2,419026;2,225387;4,324781;-2,312339;-2,180291;5,979063;0,6564916;2,266497;-5,123558;-3,98873;-1,048342;-4,89994;-0,420518;-3,694268;-2,321686;3,437394;-6,059196;4,382849;-3,053558;0,6372921;-1,194007;-2,229094;4,365373
72|RandomParents|0,01031788|3,135626;2,677226;-3,178617;1,034099;-3,982826;-2,036198;2,451772;-4,109092;-2,528667;-0,5251698;3,38831;-1,498398;-2,818211;2,639484;-1,222582;2,36979;1,361453;2,760779;3,780671;1,218321;-0,9158802;3,682686;-4,273285;2,078345;-3,417497;1,847644;-0,08067462;-2,3209;3,523861
73|RandomParents|0,01031417|3,127944;2,996417;-2,118182;2,41883;-2,745762;-1,975527;2,938339;-3,771678;-2,951198;-1,527737;3,830321;-1,705432;-2,577605;2,54172;0,3201912;2,41192;1,217319;1,201452;5,504726;1,256752;0,00255987;4,137957;-4,58525;1,975222;-3,976335;1,062366;0,08805224;-2,421375;3,495463
